molregno,withdrawn_flag,pref_name,chembl_id,chirality,black_box_warning,polymer_flag,canonical_smiles,level5,level1_description,level2_description,level3_description,level4_description,who_name,warning_type,warning_class,warning_description,warning_country,warning_year
192908,0,DULOXETINE,CHEMBL1175,1,1,0,CNCC[C@H](Oc1cccc2ccccc12)c1cccs1,"('N06AX21',)","('NERVOUS SYSTEM',)","('PSYCHOANALEPTICS',)","('ANTIDEPRESSANTS',)","('Other antidepressants',)","('duloxetine',)",,,,,
193096,1,PEMOLINE,CHEMBL1177,0,1,0,NC1=NC(=O)C(c2ccccc2)O1,"('N06BA05',)","('NERVOUS SYSTEM',)","('PSYCHOANALEPTICS',)","('PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS',)","('Centrally acting sympathomimetics',)","('pemoline',)",Withdrawn,"('Hepatotoxicity',)",Hepatic toxicity,Canada; United Kingdom,1997.0
193096,1,PEMOLINE,CHEMBL1177,0,1,0,NC1=NC(=O)C(c2ccccc2)O1,"('N06BA05',)","('NERVOUS SYSTEM',)","('PSYCHOANALEPTICS',)","('PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS',)","('Centrally acting sympathomimetics',)","('pemoline',)",Black Box Warning,"(None,)",,United States,
193277,0,TISOPURINE,CHEMBL119423,2,0,0,Sc1[nH]cnc2nncc1-2,"('M04AA02',)","('MUSCULO-SKELETAL SYSTEM',)","('ANTIGOUT PREPARATIONS',)","('ANTIGOUT PREPARATIONS',)","('Preparations inhibiting uric acid production',)","('tisopurine',)",,,,,
193281,0,TETRABENAZINE,CHEMBL117785,0,1,0,COc1cc2c(cc1OC)C1CC(=O)C(CC(C)C)CN1CC2,"('N07XX06',)","('NERVOUS SYSTEM',)","('OTHER NERVOUS SYSTEM DRUGS',)","('OTHER NERVOUS SYSTEM DRUGS',)","('Other nervous system drugs',)","('tetrabenazine',)",Black Box Warning,"('Psychiatric toxicity',)",,United States,
195106,0,HYDROGEN PEROXIDE,CHEMBL71595,2,0,0,OO,"('A01AB02', 'D08AX01', 'D11AX25', 'S02AA06')","('ALIMENTARY TRACT AND METABOLISM', 'DERMATOLOGICALS', 'DERMATOLOGICALS', 'SENSORY ORGANS')","('STOMATOLOGICAL PREPARATIONS', 'ANTISEPTICS AND DISINFECTANTS', 'OTHER DERMATOLOGICAL PREPARATIONS', 'OTOLOGICALS')","('STOMATOLOGICAL PREPARATIONS', 'ANTISEPTICS AND DISINFECTANTS', 'OTHER DERMATOLOGICAL PREPARATIONS', 'ANTIINFECTIVES')","('Antiinfectives and antiseptics for local oral treatment', 'Other antiseptics and disinfectants', 'Other dermatologicals', 'Antiinfectives')","('hydrogen peroxide', 'hydrogen peroxide', 'hydrogen peroxide', 'hydrogen peroxide')",,,,,
196215,0,ZOLMITRIPTAN,CHEMBL1185,1,0,0,CN(C)CCc1c[nH]c2ccc(C[C@H]3COC(=O)N3)cc12,"('N02CC03',)","('NERVOUS SYSTEM',)","('ANALGESICS',)","('ANTIMIGRAINE PREPARATIONS',)","('Selective serotonin (5HT1) agonists',)","('zolmitriptan',)",,,,,
196351,0,ERGONOVINE,CHEMBL119443,1,0,0,C[C@@H](CO)NC(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,"('G02AB03',)","('GENITO URINARY SYSTEM AND SEX HORMONES',)","('OTHER GYNECOLOGICALS',)","('UTEROTONICS',)","('Ergot alkaloids',)","('ergometrine',)",,,,,
199490,0,TOLFENAMIC ACID,CHEMBL121626,2,0,0,Cc1c(Cl)cccc1Nc1ccccc1C(=O)O,"('M01AG02',)","('MUSCULO-SKELETAL SYSTEM',)","('ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS',)","('ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS',)","('Fenamates',)","('tolfenamic acid',)",,,,,
203627,0,TUBOCURARINE,CHEMBL339427,1,0,0,COc1cc2c3cc1Oc1cc(ccc1O)C[C@@H]1c4c(cc(OC)c(O)c4Oc4ccc(cc4)C[C@@H]3N(C)CC2)CC[N+]1(C)C,"('M03AA02',)","('MUSCULO-SKELETAL SYSTEM',)","('MUSCLE RELAXANTS',)","('MUSCLE RELAXANTS, PERIPHERALLY ACTING AGENTS',)","('Curare alkaloids',)","('tubocurarine',)",,,,,
204090,0,SULFAGUANIDINE,CHEMBL338802,2,0,0,NC(N)=NS(=O)(=O)c1ccc(N)cc1,"('A07AB03',)","('ALIMENTARY TRACT AND METABOLISM',)","('ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS',)","('INTESTINAL ANTIINFECTIVES',)","('Sulfonamides',)","('sulfaguanidine',)",,,,,
204115,0,SULFAMETHIZOLE,CHEMBL1191,2,0,0,Cc1nnc(NS(=O)(=O)c2ccc(N)cc2)s1,"('B05CA04', 'D06BA04', 'J01EB02', 'S01AB01')","('BLOOD AND BLOOD FORMING ORGANS', 'DERMATOLOGICALS', 'ANTIINFECTIVES FOR SYSTEMIC USE', 'SENSORY ORGANS')","('BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS', 'ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE', 'ANTIBACTERIALS FOR SYSTEMIC USE', 'OPHTHALMOLOGICALS')","('IRRIGATING SOLUTIONS', 'CHEMOTHERAPEUTICS FOR TOPICAL USE', 'SULFONAMIDES AND TRIMETHOPRIM', 'ANTIINFECTIVES')","('Antiinfectives', 'Sulfonamides', 'Short-acting sulfonamides', 'Sulfonamides')","('sulfamethizole', 'sulfamethizole', 'sulfamethizole', 'sulfamethizole')",,,,,
208661,0,PHENIRAMINE,CHEMBL1193,0,0,0,CN(C)CCC(c1ccccc1)c1ccccn1,"('D04AA16', 'R06AB05')","('DERMATOLOGICALS', 'RESPIRATORY SYSTEM')","('ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.', 'ANTIHISTAMINES FOR SYSTEMIC USE')","('ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.', 'ANTIHISTAMINES FOR SYSTEMIC USE')","('Antihistamines for topical use', 'Substituted alkylamines')","('pheniramine', 'pheniramine')",,,,,
208749,0,PRILOCAINE,CHEMBL1194,0,0,0,CCCNC(C)C(=O)Nc1ccccc1C,"('N01BB04', 'N01BB54')","('NERVOUS SYSTEM', 'NERVOUS SYSTEM')","('ANESTHETICS', 'ANESTHETICS')","('ANESTHETICS, LOCAL', 'ANESTHETICS, LOCAL')","('Amides', 'Amides')","('prilocaine', 'prilocaine, combinations')",,,,,
209007,0,PROPARACAINE,CHEMBL1196,2,0,0,CCCOc1ccc(C(=O)OCCN(CC)CC)cc1N,"('S01HA04',)","('SENSORY ORGANS',)","('OPHTHALMOLOGICALS',)","('LOCAL ANESTHETICS',)","('Local anesthetics',)","('proxymetacaine',)",,,,,
209224,0,PRAMOXINE,CHEMBL1198,2,0,0,CCCCOc1ccc(OCCCN2CCOCC2)cc1,"('C05AD07', 'D04AB07')","('CARDIOVASCULAR SYSTEM', 'DERMATOLOGICALS')","('VASOPROTECTIVES', 'ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.')","('AGENTS FOR TREATMENT OF HEMORRHOIDS AND ANAL FISSURES FOR TOPICAL USE', 'ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.')","('Local anesthetics', 'Anesthetics for topical use')","('pramocaine', 'pramocaine')",,,,,
209594,0,BENOXINATE,CHEMBL1200,2,0,0,CCCCOc1cc(C(=O)OCCN(CC)CC)ccc1N,"('D04AB03', 'S01HA02')","('DERMATOLOGICALS', 'SENSORY ORGANS')","('ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.', 'OPHTHALMOLOGICALS')","('ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.', 'LOCAL ANESTHETICS')","('Anesthetics for topical use', 'Local anesthetics')","('oxybuprocaine', 'oxybuprocaine')",,,,,
209829,0,THIOTHIXENE,CHEMBL1201,2,1,0,CN1CCN(CC/C=C2/c3ccccc3Sc3ccc(S(=O)(=O)N(C)C)cc32)CC1,"('N05AF04',)","('NERVOUS SYSTEM',)","('PSYCHOLEPTICS',)","('ANTIPSYCHOTICS',)","('Thioxanthene derivatives',)","('tiotixene',)",Black Box Warning,"('Psychiatric toxicity',)",,United States,
209838,0,IPRINDOLE,CHEMBL126224,2,0,0,CN(C)CCCn1c2c(c3ccccc31)CCCCCC2,"('N06AA13',)","('NERVOUS SYSTEM',)","('PSYCHOANALEPTICS',)","('ANTIDEPRESSANTS',)","('Non-selective monoamine reuptake inhibitors',)","('iprindole',)",,,,,
213639,0,ETHOPROPAZINE,CHEMBL1206,0,0,0,CCN(CC)C(C)CN1c2ccccc2Sc2ccccc21,"('N04AA05',)","('NERVOUS SYSTEM',)","('ANTI-PARKINSON DRUGS',)","('ANTICHOLINERGIC AGENTS',)","('Tertiary amines',)","('profenamine',)",,,,,
214701,0,CINOXACIN,CHEMBL1208,2,0,0,CCn1nc(C(=O)O)c(=O)c2cc3c(cc21)OCO3,"('J01MB06',)","('ANTIINFECTIVES FOR SYSTEMIC USE',)","('ANTIBACTERIALS FOR SYSTEMIC USE',)","('QUINOLONE ANTIBACTERIALS',)","('Other quinolones',)","('cinoxacin',)",,,,,
217341,0,FORMESTANE,CHEMBL132530,1,0,0,C[C@]12CC[C@H]3[C@@H](CCC4=C(O)C(=O)CC[C@@]43C)[C@@H]1CCC2=O,"('L02BG02',)","('ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS',)","('ENDOCRINE THERAPY',)","('HORMONE ANTAGONISTS AND RELATED AGENTS',)","('Aromatase inhibitors',)","('formestane',)",,,,,
217548,0,CANGRELOR,CHEMBL334966,0,0,0,CSCCNc1nc(SCCC(F)(F)F)nc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)C(Cl)(Cl)P(=O)(O)O)[C@@H](O)[C@H]1O,"('B01AC25',)","('BLOOD AND BLOOD FORMING ORGANS',)","('ANTITHROMBOTIC AGENTS',)","('ANTITHROMBOTIC AGENTS',)","('Platelet aggregation inhibitors excl. heparin',)","('cangrelor',)",,,,,
218758,0,CARBENICILLIN,CHEMBL1214,0,0,0,CC1(C)S[C@@H]2[C@H](NC(=O)C(C(=O)O)c3ccccc3)C(=O)N2[C@H]1C(=O)O,"('J01CA03',)","('ANTIINFECTIVES FOR SYSTEMIC USE',)","('ANTIBACTERIALS FOR SYSTEMIC USE',)","('BETA-LACTAM ANTIBACTERIALS, PENICILLINS',)","('Penicillins with extended spectrum',)","('carbenicillin',)",,,,,
219327,1,BENOXAPROFEN,CHEMBL340978,0,0,0,CC(C(=O)O)c1ccc2oc(-c3ccc(Cl)cc3)nc2c1,"('M01AE06',)","('MUSCULO-SKELETAL SYSTEM',)","('ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS',)","('ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS',)","('Propionic acid derivatives',)","('benoxaprofen',)",Withdrawn,"('Carcinogenicity', 'Dermatological toxicity', 'Gastrotoxicity', 'Hepatotoxicity', 'Nephrotoxicity')",Liver and kidney failure; Gastrointestinal bleeding; Ulcers; Liver necrosis; Photosensitivity; Animal carcinogenicity,United States; United Kingdom; United States; Spain; Germany,1982.0
219334,0,PHENYLEPHRINE,CHEMBL1215,1,0,0,CNC[C@H](O)c1cccc(O)c1,"('C01CA06', 'R01AA04', 'R01AB01', 'R01BA03', 'R01BA53', 'S01FB01', 'S01GA05', 'S01GA55')","('CARDIOVASCULAR SYSTEM', 'RESPIRATORY SYSTEM', 'RESPIRATORY SYSTEM', 'RESPIRATORY SYSTEM', 'RESPIRATORY SYSTEM', 'SENSORY ORGANS', 'SENSORY ORGANS', 'SENSORY ORGANS')","('CARDIAC THERAPY', 'NASAL PREPARATIONS', 'NASAL PREPARATIONS', 'NASAL PREPARATIONS', 'NASAL PREPARATIONS', 'OPHTHALMOLOGICALS', 'OPHTHALMOLOGICALS', 'OPHTHALMOLOGICALS')","('CARDIAC STIMULANTS EXCL. CARDIAC GLYCOSIDES', 'DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE', 'DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE', 'NASAL DECONGESTANTS FOR SYSTEMIC USE', 'NASAL DECONGESTANTS FOR SYSTEMIC USE', 'MYDRIATICS AND CYCLOPLEGICS', 'DECONGESTANTS AND ANTIALLERGICS', 'DECONGESTANTS AND ANTIALLERGICS')","('Adrenergic and dopaminergic agents', 'Sympathomimetics, plain', 'Sympathomimetics, combinations excl. corticosteroids', 'Sympathomimetics', 'Sympathomimetics', 'Sympathomimetics excl. antiglaucoma preparations', 'Sympathomimetics used as decongestants', 'Sympathomimetics used as decongestants')","('phenylephrine', 'phenylephrine', 'phenylephrine', 'phenylephrine', 'phenylephrine, combinations', 'phenylephrine', 'phenylephrine', 'phenylephrine, combinations')",,,,,
221962,0,RAMELTEON,CHEMBL1218,1,0,0,CCC(=O)NCC[C@@H]1CCc2ccc3c(c21)CCO3,"('N05CH02',)","('NERVOUS SYSTEM',)","('PSYCHOLEPTICS',)","('HYPNOTICS AND SEDATIVES',)","('Melatonin receptor agonists',)","('ramelteon',)",,,,,
222203,0,RABEPRAZOLE,CHEMBL1219,0,0,0,COCCCOc1ccnc(C[S+]([O-])c2nc3ccccc3[nH]2)c1C,"('A02BC04', 'A02BC54')","('ALIMENTARY TRACT AND METABOLISM', 'ALIMENTARY TRACT AND METABOLISM')","('DRUGS FOR ACID RELATED DISORDERS', 'DRUGS FOR ACID RELATED DISORDERS')","('DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)', 'DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)')","('Proton pump inhibitors', 'Proton pump inhibitors')","('rabeprazole', 'rabeprazole, combinations')",,,,,
222633,0,TINIDAZOLE,CHEMBL1220,2,1,0,CCS(=O)(=O)CCn1c([N+](=O)[O-])cnc1C,"('J01XD02', 'P01AB02')","('ANTIINFECTIVES FOR SYSTEMIC USE', 'ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS')","('ANTIBACTERIALS FOR SYSTEMIC USE', 'ANTIPROTOZOALS')","('OTHER ANTIBACTERIALS', 'AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES')","('Imidazole derivatives', 'Nitroimidazole derivatives')","('tinidazole', 'tinidazole')",Black Box Warning,"('Carcinogenicity',)",,United States,
223819,0,SULCONAZOLE,CHEMBL1221,0,0,0,Clc1ccc(CSC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,"('D01AC09',)","('DERMATOLOGICALS',)","('ANTIFUNGALS FOR DERMATOLOGICAL USE',)","('ANTIFUNGALS FOR TOPICAL USE',)","('Imidazole and triazole derivatives',)","('sulconazole',)",,,,,
224263,0,ZOPICLONE,CHEMBL135400,0,0,0,CN1CCN(C(=O)OC2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1,"('N05CF01',)","('NERVOUS SYSTEM',)","('PSYCHOLEPTICS',)","('HYPNOTICS AND SEDATIVES',)","('Benzodiazepine related drugs',)","('zopiclone',)",,,,,
226880,0,ACRIVASTINE,CHEMBL1224,2,0,0,Cc1ccc(/C(=C\CN2CCCC2)c2cccc(/C=C/C(=O)O)n2)cc1,"('R06AX18',)","('RESPIRATORY SYSTEM',)","('ANTIHISTAMINES FOR SYSTEMIC USE',)","('ANTIHISTAMINES FOR SYSTEMIC USE',)","('Other antihistamines for systemic use',)","('acrivastine',)",,,,,
227437,0,TOLVAPTAN,CHEMBL344159,0,1,0,Cc1ccccc1C(=O)Nc1ccc(C(=O)N2CCCC(O)c3cc(Cl)ccc32)c(C)c1,"('C03XA01',)","('CARDIOVASCULAR SYSTEM',)","('DIURETICS',)","('OTHER DIURETICS',)","('Vasopressin antagonists',)","('tolvaptan',)",Black Box Warning,"('Hepatotoxicity',)",,United States,
228121,0,OSELTAMIVIR,CHEMBL1229,1,0,0,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1,"('J05AH02',)","('ANTIINFECTIVES FOR SYSTEMIC USE',)","('ANTIVIRALS FOR SYSTEMIC USE',)","('DIRECT ACTING ANTIVIRALS',)","('Neuraminidase inhibitors',)","('oseltamivir',)",,,,,
228354,0,PERAMIVIR,CHEMBL139367,1,0,0,CCC(CC)[C@H](NC(C)=O)[C@@H]1[C@H](O)[C@@H](C(=O)O)C[C@H]1NC(=N)N,"('J05AH03',)","('ANTIINFECTIVES FOR SYSTEMIC USE',)","('ANTIVIRALS FOR SYSTEMIC USE',)","('DIRECT ACTING ANTIVIRALS',)","('Neuraminidase inhibitors',)","('peramivir',)",,,,,
229058,0,OXYBUTYNIN,CHEMBL1231,0,0,0,CCN(CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,"('G04BD04',)","('GENITO URINARY SYSTEM AND SEX HORMONES',)","('UROLOGICALS',)","('UROLOGICALS',)","('Drugs for urinary frequency and incontinence',)","('oxybutynin',)",,,,,
230249,1,CARISOPRODOL,CHEMBL1233,0,0,0,CCCC(C)(COC(N)=O)COC(=O)NC(C)C,"('M03BA02', 'M03BA52', 'M03BA72')","('MUSCULO-SKELETAL SYSTEM', 'MUSCULO-SKELETAL SYSTEM', 'MUSCULO-SKELETAL SYSTEM')","('MUSCLE RELAXANTS', 'MUSCLE RELAXANTS', 'MUSCLE RELAXANTS')","('MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS', 'MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS', 'MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS')","('Carbamic acid esters', 'Carbamic acid esters', 'Carbamic acid esters')","('carisoprodol', 'carisoprodol, combinations excl. psycholeptics', 'carisoprodol, combinations with psycholeptics')",Withdrawn,"('Misuse',)","Increased risk of abuse or addiction, intoxication and events related to psychomotor impairment",European Union,2007.0
230691,0,AZELAIC ACID,CHEMBL1238,2,0,0,O=C(O)CCCCCCCC(=O)O,"('D10AX03',)","('DERMATOLOGICALS',)","('ANTI-ACNE PREPARATIONS',)","('ANTI-ACNE PREPARATIONS FOR TOPICAL USE',)","('Other anti-acne preparations for topical use',)","('azelaic acid',)",,,,,
230966,0,BENZYL BENZOATE,CHEMBL1239,2,0,0,O=C(OCc1ccccc1)c1ccccc1,"('P03AX01',)","('ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS',)","('ECTOPARASITICIDES, INCL. SCABICIDES, INSECTICIDES AND REPELLENTS',)","('ECTOPARASITICIDES, INCL. SCABICIDES',)","('Other ectoparasiticides, incl. scabicides',)","('benzyl benzoate',)",,,,,
231013,0,TRIPELENNAMINE,CHEMBL1241,2,0,0,CN(C)CCN(Cc1ccccc1)c1ccccn1,"('D04AA04', 'R06AC04')","('DERMATOLOGICALS', 'RESPIRATORY SYSTEM')","('ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.', 'ANTIHISTAMINES FOR SYSTEMIC USE')","('ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.', 'ANTIHISTAMINES FOR SYSTEMIC USE')","('Antihistamines for topical use', 'Substituted ethylene diamines')","('tripelennamine', 'tripelennamine')",,,,,
231062,0,PHENAZOPYRIDINE,CHEMBL1242,2,0,0,Nc1ccc(/N=N/c2ccccc2)c(N)n1,"('G04BX06',)","('GENITO URINARY SYSTEM AND SEX HORMONES',)","('UROLOGICALS',)","('UROLOGICALS',)","('Other urologicals',)","('phenazopyridine',)",,,,,
231925,1,CYCLOFENIL,CHEMBL141305,2,0,0,CC(=O)Oc1ccc(C(=C2CCCCC2)c2ccc(OC(C)=O)cc2)cc1,"('G03GB01',)","('GENITO URINARY SYSTEM AND SEX HORMONES',)","('SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM',)","('GONADOTROPINS AND OTHER OVULATION STIMULANTS',)","('Ovulation stimulants, synthetic',)","('cyclofenil',)",Withdrawn,"('Hepatotoxicity',)",Hepatotoxicity,France,1987.0
234541,0,VILDAGLIPTIN,CHEMBL142703,0,0,0,N#C[C@@H]1CCCN1C(=O)CNC12CC3CC(CC(O)(C3)C1)C2,"('A10BH02',)","('ALIMENTARY TRACT AND METABOLISM',)","('DRUGS USED IN DIABETES',)","('BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS',)","('Dipeptidyl peptidase 4 (DPP-4) inhibitors',)","('vildagliptin',)",,,,,
236019,0,CYPROTERONE ACETATE,CHEMBL139835,1,0,0,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)[C@@H]5C[C@@H]5[C@]4(C)[C@H]3CC[C@@]21C,"('G03HA01',)","('GENITO URINARY SYSTEM AND SEX HORMONES',)","('SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM',)","('ANTIANDROGENS',)","('Antiandrogens, plain',)","('cyproterone',)",,,,,
238127,0,ISOFLURANE,CHEMBL1256,0,0,0,FC(F)OC(Cl)C(F)(F)F,"('N01AB06',)","('NERVOUS SYSTEM',)","('ANESTHETICS',)","('ANESTHETICS, GENERAL',)","('Halogenated hydrocarbons',)","('isoflurane',)",,,,,
238336,0,NITROGEN,CHEMBL142438,2,0,0,N#N,"('V03AN04',)","('VARIOUS',)","('ALL OTHER THERAPEUTIC PRODUCTS',)","('ALL OTHER THERAPEUTIC PRODUCTS',)","('Medical gases',)","('nitrogen',)",,,,,
238429,0,ENFLURANE,CHEMBL1257,0,0,0,FC(F)OC(F)(F)C(F)Cl,"('N01AB04',)","('NERVOUS SYSTEM',)","('ANESTHETICS',)","('ANESTHETICS, GENERAL',)","('Halogenated hydrocarbons',)","('enflurane',)",,,,,
240769,0,CITRIC ACID,CHEMBL1261,2,0,0,O=C(O)CC(O)(CC(=O)O)C(=O)O,"('A09AB04',)","('ALIMENTARY TRACT AND METABOLISM',)","('DIGESTIVES, INCL. ENZYMES',)","('DIGESTIVES, INCL. ENZYMES',)","('Acid preparations',)","('citric acid',)",,,,,
240864,0,HEXETIDINE,CHEMBL144673,0,0,0,CCCCC(CC)CN1CN(CC(CC)CCCC)CC(C)(N)C1,"('A01AB12', 'G01AX16')","('ALIMENTARY TRACT AND METABOLISM', 'GENITO URINARY SYSTEM AND SEX HORMONES')","('STOMATOLOGICAL PREPARATIONS', 'GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS')","('STOMATOLOGICAL PREPARATIONS', 'ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS')","('Antiinfectives and antiseptics for local oral treatment', 'Other antiinfectives and antiseptics')","('hexetidine', 'hexetidine')",,,,,
242303,0,OXICONAZOLE,CHEMBL1262,2,0,0,Clc1ccc(CO/N=C(\Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,"('D01AC11', 'G01AF17')","('DERMATOLOGICALS', 'GENITO URINARY SYSTEM AND SEX HORMONES')","('ANTIFUNGALS FOR DERMATOLOGICAL USE', 'GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS')","('ANTIFUNGALS FOR TOPICAL USE', 'ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS')","('Imidazole and triazole derivatives', 'Imidazole derivatives')","('oxiconazole', 'oxiconazole')",,,,,
242716,0,SALMETEROL,CHEMBL1263,0,1,0,OCc1cc(C(O)CNCCCCCCOCCCCc2ccccc2)ccc1O,"('R03AC12',)","('RESPIRATORY SYSTEM',)","('DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES',)","('ADRENERGICS, INHALANTS',)","('Selective beta-2-adrenoreceptor agonists',)","('salmeterol',)",,,,,
244450,0,ADAPALENE,CHEMBL1265,2,0,0,COc1ccc(-c2ccc3cc(C(=O)O)ccc3c2)cc1C12CC3CC(CC(C3)C1)C2,"('D10AD03', 'D10AD53')","('DERMATOLOGICALS', 'DERMATOLOGICALS')","('ANTI-ACNE PREPARATIONS', 'ANTI-ACNE PREPARATIONS')","('ANTI-ACNE PREPARATIONS FOR TOPICAL USE', 'ANTI-ACNE PREPARATIONS FOR TOPICAL USE')","('Retinoids for topical use in acne', 'Retinoids for topical use in acne')","('adapalene', 'adapalene, combinations')",,,,,
244737,1,GLAFENINE,CHEMBL146095,0,0,0,O=C(OCC(O)CO)c1ccccc1Nc1ccnc2cc(Cl)ccc12,"('N02BG03',)","('NERVOUS SYSTEM',)","('ANALGESICS',)","('OTHER ANALGESICS AND ANTIPYRETICS',)","('Other analgesics and antipyretics',)","('glafenine',)",Withdrawn,"('Immune system toxicity',)",Anaphylaxis,Germany; France,1984.0
245084,0,TETRAHYDROZOLINE,CHEMBL1266,0,0,0,c1ccc2c(c1)CCCC2C1=NCCN1,"('R01AA06', 'R01AB03', 'S01GA02', 'S01GA52')","('RESPIRATORY SYSTEM', 'RESPIRATORY SYSTEM', 'SENSORY ORGANS', 'SENSORY ORGANS')","('NASAL PREPARATIONS', 'NASAL PREPARATIONS', 'OPHTHALMOLOGICALS', 'OPHTHALMOLOGICALS')","('DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE', 'DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE', 'DECONGESTANTS AND ANTIALLERGICS', 'DECONGESTANTS AND ANTIALLERGICS')","('Sympathomimetics, plain', 'Sympathomimetics, combinations excl. corticosteroids', 'Sympathomimetics used as decongestants', 'Sympathomimetics used as decongestants')","('tetryzoline', 'tetryzoline', 'tetryzoline', 'tetryzoline, combinations')",,,,,
248669,0,REPAGLINIDE,CHEMBL1272,1,0,0,CCOc1cc(CC(=O)N[C@@H](CC(C)C)c2ccccc2N2CCCCC2)ccc1C(=O)O,"('A10BX02',)","('ALIMENTARY TRACT AND METABOLISM',)","('DRUGS USED IN DIABETES',)","('BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS',)","('Other blood glucose lowering drugs, excl. insulins',)","('repaglinide',)",,,,,
249414,0,NILUTAMIDE,CHEMBL1274,2,1,0,CC1(C)NC(=O)N(c2ccc([N+](=O)[O-])c(C(F)(F)F)c2)C1=O,"('L02BB02',)","('ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS',)","('ENDOCRINE THERAPY',)","('HORMONE ANTAGONISTS AND RELATED AGENTS',)","('Anti-androgens',)","('nilutamide',)",Black Box Warning,"('Respiratory toxicity',)",,United States,
250297,0,NARATRIPTAN,CHEMBL1278,2,0,0,CNS(=O)(=O)CCc1ccc2[nH]cc(C3CCN(C)CC3)c2c1,"('N02CC02',)","('NERVOUS SYSTEM',)","('ANALGESICS',)","('ANTIMIGRAINE PREPARATIONS',)","('Selective serotonin (5HT1) agonists',)","('naratriptan',)",,,,,
250328,0,FROVATRIPTAN,CHEMBL1279,1,0,0,CN[C@@H]1CCc2[nH]c3ccc(C(N)=O)cc3c2C1,"('N02CC07',)","('NERVOUS SYSTEM',)","('ANALGESICS',)","('ANTIMIGRAINE PREPARATIONS',)","('Selective serotonin (5HT1) agonists',)","('frovatriptan',)",,,,,
